,dates,rating,review,title
0,2017/05/31,5,스탬프 코스를 따라가며 아이들과 즐겁고 행복했어요^^중간중간 먹을거리와 쉴곳도 있습니다.,아이들과 추억을 남기기좋습니다.
1,2017/05/29,4,"피난민들과 특정종교인들이 터를 잡고 오랜세월 살아오면서 자연스레 형성된 달동네(?)인데, 바닷가마을 특성상 다양한 색상이 잘 칠해져 있고 관광지로 개발이 생각보다 잘되어 있어 인상깊었습니다. 전망이 시원하고, 아기자기한 골목들이 많았으며, 관광객들도 패키지 이용객들, 개인여행자들이 다양히 있었고, 꼭대기에 까페나 식당도 꽤 있었습니다. 두루 둘러보며 반나절 머물기에 적당합니다. 파주 헤이리의 과거 실사확대판으로 보면 이해가 빠를 것인데, 산속에 위치해 있어 전망이 훨씬 좋고 실제 마을이라 자연스럽습니다. ",인상깊은 곳
2,2017/05/01,4,알려진만큼 관광객들붐비네요. 예전 달동네가 이젠 온갖 공방 스튜디오 카페 등으로 바뀌어 많은 사람들이 찾아오는 것은 좋은 일이지만 넘 상업화안되고 지금의 모습을 잘 간직하면 좋겠네요. 우린 골목만 한시간 가량 걷다가 나왔습니다. 기념품소품도 가격이 만만찮네요,부산의 산토리니?
3,2017/04/30,5,부산의 명소 중 한 곳. 오래된 마을에 다양한 벽화와 조각 등으로 꾸며 돌아보는 맛이 좋고 마을 위로 올라가면 부산시내와 항구를 조망할 수 있다,감천 문화 마을
4,2017/04/20,4,구경하기 정말 좋고 사진도 잘나오는 마을이에요 단점이라고하면 진짜 주민들이 사시는데기때문에 밤에 차를 끌고 다닐때는 라이트를 집쪽으로 안해야하고 꼬불꼬불해서 차에 상처가 생길만해요. 대중교통을 이용해서 낮에 가는게 최고인거 같아요,다 좋지만 주민들이 사는곳
5,2017/03/27,4,알려지기 전부터 사진출사로 자주갔던 곳인데. 아무래도 사시는 분들이 있으시기 때문에 기본적인 매너는 지켜줬으면 좋겠네요.석양이 지고 어둠이 깔렸을때 찍었는데 사진은 잘 나왔어요. 핫스팟은 아무래도 어린왕자있는 곳이겠죠.,관광객분들이 많아졌어요.
6,2017/03/26,3,길이 별루던데 그래도 엉망으로 주차하고 일단 구경햇어요. 겨울인데도 부산은 안추웟다능거 ㅋㅋㅋㅋ 티비에서 보던 감천마을을 실제로 봣내요. 포인트네서 사진만 찍음,감천문화마을 처음 가봄
7,2017/03/22,5,도심에서 조금만 벗어나면 높은곳에 위치한 아주 오래된듯한 마을이 나타납니다.겉으로 보는모습과는 다르게 마을안으로 들어서면 아기자기하고 이쁜 벽화와 조형물을 만날수있습니다.어린왕자는 사진찍는 필수 코스 입니다,오래전 추억을 떠올릴수 있는 장소 입니다
8,2017/03/14,3,어린왕자랑 사진찍는게 유명해서 찍어보고 싶었는데 줄을 엄청 길게 서더라고요 그래서 그냥 눈으로 보고만 왔어요ㅎㅎ 사진찍는 사람들도 정말많았어요 ,인기많은 어린왕자
9,2017/03/02,5,벽화마을이야 우리나라 관광지 어딜가도 있기에 그렇게 신기하진 않았는데요고불고불한 동네 윗쪽으로 올라가서 내려다 보면 마을이 예쁩니다.,메인사진처럼 꼭대기부근가서 내려다 보이는 마을이 예쁨
10,2017/02/28,5,사진 찍으로 가는곳이에요 좋은데 유명해 지면서 어린왕자랑 사진 찍을려면 기본 1시간 대기 해야합니다... ㅎㅎ ㅠㅠ 저도 1시간 대기 했어요~,좋아요
11,2017/02/20,3,너무 많은 관광객들이 찾는 탓인지 주차하기도 어렵고 구경하기도 힘들었어요. 비가 내리는 날에는 되도록 안가시는게 좋을 것 같아요.,누가봐도 관광지
12,2017/02/20,5,부산에 가시면 한번쯤 방문해 보시는 것도 괜찮을 것 같습니다. 방문객이 많은 주말 점심때 갔는데도그렇게 시끄러운 분위기가 아니며 다들 골목 이곳저곳을 둘러보며 사진을 찍습니다. 여기저기 잘 꾸며 놓아서 사진찍기에 좋습니다. ,한번쯤 방문하기 괜찮은 곳!
13,2017/02/18,5,"실제 돌아다니며 눈에 들어오는 풍경들도 좋았지만,사진속 배경들이 너무 예쁜 곳.가장 불편한건 역시 주차문제. 도로변에 세워두고 갔다왔더니 떡하니 주차금지 경고문이 .. 와이퍼 사이에그래도 다채로운 볼거리와 풍부한 먹거리 등 한나절 구경하기 좋은곳.",동심의 세계로...
14,2017/02/10,4,sns를 통해 알게 된 관광지에요. 골목이 좁기때문에 자가용보다는 대중교통을 이용할 것을 추천합니다. 아! 그리고 대부분 주민들이 살고있는 곳이기때문에 아무리 관광지라도 조용하고 깨끗하게 이용하는 매너!!꼭 지키셨으면 해요.,알록달록 색감이 이뻐요:)
15,2017/02/10,4,구경삼아 갔었는데 사진을 찍기위해 오는 관광객들이 굉장히 많았습니다. 구석구석 벽화도 이쁘고 위로 올라갈수록 내려다보는 풍경이 이쁩니다^^ ,사진찍기 좋은 명소.
16,2017/02/06,5,우리나라에서는 색다른 문화와 생활환경 그리고 그 옛날 우리 부모님들이 전쟁통에 살던 모습을 느낄 수 있고 더불어 행복을 느낄수 있는곳,색다른 문화를 체험 할 수 있는곳
17,2017/01/22,3,언덕 꼭대기에 겹겹이 쌓아놓은듯한 집들...전쟁에 피난민들이 몰려 다닥다닥 모여살았던 집들에 색을 칠하고 관광객을 맞았지만 여러나라들에서 온 관광객 들로 가득하여 시끄럽고 ...아기자기한예쁜 가게들도 많고 예쁜사진을 찍을수 있는 포인트도 많이 있어서 젊은 아이들은 신나라하는듯...한바퀴를 돌며 그안에 살고있는 혹은 그전에 살았을 사람들의 팍팍한 삶을 느낄수 있어서 조금은 가슴이 아팠다..,알록달록..하지만 왠지모를 마음아픔..
18,2017/01/21,4,연휴에 부산에 내려온 친척들이 가보고 싶어하여 방문하였습니다. 감천동이 이렇게 변화하였을 줄은 몰랐네요. ,친척들과 함께
19,2017/01/19,5,1-2시간이면 충분히 본다고 했는데사진찍고 구석구석 다니면서 4시간 정도 걸렸다.지도 구매해서 스탬프투어도 쏠쏠한 재미.,구석구석
20,2017/01/19,5,제가 알기로는 그렇습니다. 우리나라에 이젠 무수히 많은 벽화마을이 있지만 역시 그 중 최고는 감천문화마을입니다. 찾아가기 조금 애매하고 뚜벅이 여행자에겐 찾아가기 더 불편하지만 막상 가게 된다면 그런 생각은 사라질 것 입니다.,국내 최초의 벽화마을
21,2017/01/09,3,"문화 마을이라고는 하지만, 벽화 몇개 그려진 듯한 느낌이 다였습니다. 부산이라고 생각하면 떠오르는 친근함이나 소박함 보다는 그냥 벽화 몇개만 생각나는......",사진에서 보는게 더 멋있는듯
22,2016/12/19,4,감천문화마을은 산위에 있는 마을이라서 그런지 마을버스를 타고 가야하는 불편함이 있으나 그걸 참고 고생하면 엄청 아름답고 이쁜 마을이 보이는데 겨울에는 바람이 불러서 너무 추웠어요..,감천문화마을은 정말이지 부산의 명소 오브 더 명소입니다~필수코스이구요..
23,2016/12/14,3,개인 별로 다르지만 멀리서 보면 볼수록 풍경에 묻힙니다. 색감이 진하지 않다 보니 파스텔톤 치고는 너무 옅고 방해물이 많은지라..차라리 안에 들어오거나 거리를 좁히면 이쁩니다.,가까이서 보는게 더 낫네요 전
24,2016/12/07,4,"유명해져서 사람이 좀 많긴한데 사진찍기에도 좋고, KTX역에서 멀지 않아서 둘러보기 좋은것 같습니다. 여행객들에게 추천 ",사람이 좀 많긴한데
25,2016/12/02,4,스탬프 투어는 재미있는 아이템이라고 생각하지만 너무 구석구석 숨어있다. 빼먹지 않고 제대로 찍으려면 정말 구석구석을 매의 눈으로 탐색하며 가야 함. 지도 있어도 헤매다가 못 찾는 곳도 많다.,스탬프투어는 주의깊게
26,2016/12/01,4,도장 다찍었습니다. 길을 쫌 헤매기는 했으나 좋았어요~ 중간중간에 먹을거리 쉴거리가 더 있었으면 좋겠더라구요 물한병 꼭 챙기시구요 스템프투어 중간에 엽서도 주니까 꼭 챙기세요,스템프투어
27,2016/11/28,4,"산기슭에 있는 마을이지만 예술인들이 거주하면서 문화체험의 공간으로 새롭게 꾸민 곳이다. 곳곳에서 벽화와 같은 여러 조형물들을 발견할 수 있으며, 지도를 구입해 스탬프를 받는 체험도 가능하다. 다만 비가 오는 날에는 여러 모로 다니기가 불편하며, 길이 좁으므로 자가용으로 방문은 삼가는 것이 좋을 듯. 한편 마을이 관광지화되면서 상업성이 생겨난 것도 그렇지만, 방문객들 역시 이곳은 관광지이기에 앞서 주거지임을 우선 생각하면서 주민들을 배려하며 행동에 신중을 기할 필요가 있을 것이다.",민가 속에서 문화 체험을!
28,2016/11/15,2,감천 문화마을에는 주말엔 가지마세요.. .사람이 너무 많아요교통편도 불편합니다. 차도 너무 많구요...현지 마을 사람들을 조금 배려하는 관광객의 모습이 필요합니다.여름엔 정말 비추 입니다. 더운데 아스팔트 산복도로를 걸어가는건 무리입니다.,부산여행
29,2016/11/13,4,너무 오랫만에 온 곳이라. 독일친구덕에 제가 오히려 부산 관광을 다시한듯하네요. 우리가 좀 늦게가서 작은 골목들을 다 돌아다니지 못했지만 그래도 나름 괜찮았어요! 다음에가면 일찍 가야겠어요 좀 상업적으로 변한듯하지만 그래도 지역 발전에 도움이 될듯합니다,엄청 발전 되었네요
30,2016/11/02,4,"우리나라에서 최대의 벽화마을인지는 잘 모르겠지만, 어쨋든 꽤 큰 크기의 마을규모를 자랑합니다. 여러 아티스트들이 많이 모여들어서 그런지 벽화 말고도 다양한 조형물 등을 감상하실 수 있습니다. 커플, 혹은 친구들과 함께 재미있는 벽화들과 사진을 찍으면서 재미난 시간을 즐길 수 있을 겁니다. 다만, 교통이 좀 복잡하니 차는 왠만하면 갖고 가지 마시고, 지하철역에서 마을버스를 타고 이동하시는걸 추천합니다. ",멋진 벽화 구경하러들 가세요~
31,2016/10/26,4,오르막이 많고 길도 조금은 헷갈리지만 왜인지 너무 정겹고 이런 동네도 있구나 하고 신기했습니다. 길고양이들도 굉장히 많았고 작고 아기자기하고 소박하고 투박한 마을이었습니다 ^^,정겨운 옛 마을
32,2016/09/29,3,여기 걸어서 한바퀴 돌기 은근 힘들더라구요. 마을은 확 트이고 이뻤어요. 사진찍으면 이쁘게 나오고 중간에 씨앗 호떡 등 주전부리 파는데도 있고 괜찮았어요,서울 이화마을 등에 많이 갔다면 안가셔도 무방
33,2016/09/24,4,처음에는 마을만 있어서 한적하고 좋았는데...지금은 많이 상업화 되었어요. 하지만 아무것도 없을때보다는 중간에 쉴 곳이 있기는 하네요. ,많이 변했네요.
34,2016/09/02,2,간간이 벽화가 그려져 있거나 하지만...예쁘거나 멋있거나 하진 않아요대신 밤에 망원경이 있는곳에서 내려다 보는 감천항의 야경은 좋아요!,그냥 마을이예요!
35,2016/08/31,4,집들이 작고 앙증맞아 귀엽고 색들이 알록달록해 사진을 찍으면 정말 예쁘게 나옵니다. 마을을 보는 곳으로 가서 차를 마시는 것도 좋습니다.,사진찍기 좋은 곳
36,2016/08/30,4,옛동네를 이렇게 감각적인 벽화들을 통해서 문화마을로 변화시킨 아이디어가 너무 좋구요골목도 이쁘고 일몰시간에 가니 정말 환상적이었어요,부산 특유의 옛동네를 느낄 수 있어요
