,dates,rating,review,title
0,2017/07/11,3,대구에 인물 김광석 가수를 느낄 수 있는 곳이에요~ 맛집도많고 노래도 흘러나오는 골목입니다 ,대구데이트코스 김광석길
1,2017/07/11,4,아기와 와이프와 함께 갔었는데 뭔가 대단한게 있는건 아니고 김광석을 추억하기에 좋은 정도인것 같음.,한 번은 가볼만한...
2,2017/07/11,4,벽화도 근사하고 이런저런 먹거리도 즐길 수 있어 좋아요.작지만 공연장도 있어 쉬어가며 음악을 들을 수도 있구요.개성있는 음식점과 카페가 늘고 있어 또 방문하고 싶은 곳입니다.,벽화도 근사하고 이런저런 먹거리도 즐길 수 있어 좋아요
3,2017/07/11,5,"김광석이 살았던 방천시장 인근 골목을 여러 작가들이 그림으로 수놓은 기념길입니다. 레전드 김광석이 웃는 그림들, 안주를 내어주는 포장마차의 김광석 등.. 감성적인 벽화에서 사진을 찍기에 좋았어요. 대구여행에서 빼놓을 수 없는 관광명소입니다. :)",김광석을 좋아한다면 반드시 가봐야 할 길
4,2017/06/29,4,"대구까지 가서 김광석길을 안 보고 올 순 없지 싶어서 일부러 찾아갔는데 너무나 아련하고 골목을 아기자기하게 잘 꾸며놨더군요. 버스킹하는 가수들도 보이고 교복 입은 학생들부터 아주머니떼, 중년의 남성들까지 모두가 먼저 간 광석님을 아련히 추억하는 모습이 인상적이었습니다. 다만 길이 너무 좁고, 주차공간이 없어 불편했습니다.",아! 김광석~
5,2017/05/08,5,일요일 아침에 방문 했는데 버스킹 하는 분들이 아름다운 노래도 들려주고 카페랑 거리도 예쁘고 너무 좋았어요. ,여유 커피 그리고 버스킹
6,2017/04/27,4,개인적으로는 체코의 존 레논 거리나 벽 보다 훌륭한 듯.. 기대를 너무 안하고 가서인가.. 가수의 음악도 멋지고 먹거리도 많고.. 아기자기하고 특색있는 가게들이 많아 좋았다,의외로 아기자기함이 돋보인 길
7,2017/04/27,5,김광석이 대구분이라는게 자랑스럽게 이 골목에 가면 김광석의 노래를 무한반복으로 들을 수 있다 아기자기한 까페도 많고 김광석의 짧은 인생을 조금이나마 엿볼 수 있게 되어있다 그의 노래를 조금만 더 빨리 알았더라면 너무 아쉽다 ,김광석 노래를 무한반복해서 들을 수 있는 곳
8,2017/03/27,3,"생각만큼 운치가 있지는 않았네요, 예쁜 풍경을 번잡스러운 광고를 하는 길거리 음식과, 거리에 어울리지 않는 가게들이 점령했어요. 김광석 거리만의 분위기를 상상하며 왔는데, 벽화와 길거리 공연을 빼면 일반 번화가와 다를게 없었네요.",데이트하기엔 너무 좋은 곳이에요
9,2017/03/18,2,"김광석을 추모하고자 만들어진 테마 거리라는 건 알겠지만, 오히려 벽화에 그려진 캐리커쳐나 4컷 만화 등이 상권 살리기를 위해 의도적으로 만들어진 거리라는 생각이 너무 강하게 들었다. 추억을 위한 음악가의 거리라고 보기엔 음악보다는 인테리어가 잘 된 카페가 오히려 많았던 이상한 곳.",'만들어진' 장소라는 느낌이 너무 강해서 별로..
10,2017/07/11,4,"가족이라거나 칭구들과 가기 좋고, 쓰러져가던 시장 한귀퉁이가 살아나는 냄새를 옅볼 수 있는.... 광속이야 뭔 제가 있겠어요. 5살인가 철모를 때 있다갔다 하니, 살은 사람이 살만한 동네가 된다면 광석이는 좋아할겁니더. ",흥미로운
11,2017/07/11,4,"중구에 있기도 하고 숙박을 여기 근처로 해서 방문했습니다. 김광석 다시 생각할 수 있었습니다. 김광석을 관련한 그림, 전시도 볼 수 있었습니다. 김광석 노래도 들을 수 있었구요. 공방도 있으니 특별한 추억을 만들 수 있을 듯합니다.",김광석을 다시 생각하는 거리
12,2017/01/13,4,맛집과 이쁜 커피샵이 많습니다. 주말에는 중국관광객과 한국관광객이 뒤섞여 매우 복잡합니다. 주중에 방문하세요.맛집이 많습니다. ,맛집과 이쁜 커피샵이 많습니다. 
13,2016/11/21,4,김광석님을 그리워하게되는 길입니다!벽화들도 있어서 사진찍기도 좋은 곳입니다맛집도 있구요,놀러오세요!
14,2016/11/14,5,늘 가깝기에 자주 가는 김광석거리입니다. 지하철3호선 대봉교역에서 내리면 편리하게 갈수 있구요 주차는 자리가 없으니 대중교통이 훨씬 낫습니다. 김광석과 관련된 여러 사진 그림 노래등을 들을수 있고 피규어 전시회도 있었어요,아트토이 커스터마이즈전에 다녀왔어요
15,2016/10/15,4,김광석의 노래가 흘러나오고 다양한 컨셉의 벽화들 그리고 작은 상점들이 인상적이었습니다. 시간이 잘맞아서 야외공연장에서의 공연도 볼 수 있었습니다. 큰 기대없이 그냥 걸어다니면서 시간을 보내고 싶을때 가지 좋은 곳입니다.,걸어다니면서 구경하기 좋은 거리
16,2016/10/12,5,골목이 긴편은 아니지만 주위에 볼 거리들이 많았고 김광석을 벽화로 그려둔 곳들이 많아서 사진을 많이 찍었습니다. 색채가 알록달록 굳!!!,사진찍기 좋습니다.
17,2016/10/12,4,대구백화점 옆에 작은 골목길에 김광석 길이 있습니다. 걸어다니면서 작은 상점들을 구경하기도 좋구요. 예전에는 시장이었는데 시장이 죽으면서 에술가들이 많이 들어왔는데 요즘은 세가 비싸져서 그런지 그마저도 없어져서 슬프네요. 오래오래갔으면 합니다.,대구백화점 작은길
18,2016/09/25,5,거리랑 벽화 구경하는 것도 좋았지만 김광석 홀로그램 콘서트는 꼭 보세요!! 입장료 없고 유명한 노래 세곡정도로 이루어진 미니콘서트에요! 홀로그램이라고해서 별 기대를 안했는데 퀄리티도 좋고 정말 감동적이었어요. 많이들 몰라서 안가시는 건지 사람 별로 없었는데 널리 알려졌으면 좋겠네요,콘서트 꼭 보세욥!
