,dates,rating,review,title
0,2017/07/19,4,아이들이 배를 타서 좋아하고 들어가서도 여러 종류의 볼거리들이 있어서 좋습니다천천히 산책하면서 미술관 구경도 추천드립니다,아이들과 가기 좋은 곳
1,2017/07/03,5,몇 년 전 방문했을 때보다 훨씬 더 아름답게 가꾸어진 모습을 보고 놀랐습니다. 이 곳에 머무는 내내 몸과 마음이 모두 정화되는 느낌이었어요. 최고입니다.,"아름다운 풍경, 다양한 즐길거리"
2,2017/07/19,4,휴일을 맞아 아이들과 아이친구 가족가 같이 남이섬 방문 더운 여름이라 배를타고 시원함도 잠시 금방 도착합니다. 섬에서 오리배도 타고 자전거도 타고 참 좋았어요 근데 단점은 비가오면 땅이 찔퍽해지네요....,남이섬을 가다
3,2017/07/03,4,배타고. 자전거타고 친구들과 여기저기 다니다보면 여유가생긴다 잔디밭에서 노닐고 맛난 음식도 먹고 하루가 즐겁게 지나간다,한국의 베르사유?!
4,2017/06/29,5,어느 누구와 가도 즐거운 남이섬~가족단위로가도 좋습니다 커플도 좋구요~나무길이 아주좋습키다,남이섬
5,2017/06/13,5,"휴일을맞아 아이들과 방문,, 5월한달동안 그림책 3개 가져오면 아이들은 입장이 무료라고 해서 무료로 입장하고, 배타고 섬으로 들어가는 낭만,,, 잘 조성된 숲길과, 아이들을 위해 만들어놓은 놀이터, 여러가지 볼거리, 타조와 오리에 야생 청설모까지 자연과 잘 어우러지게 꾸며놓은것 같습니다. 드넓은 잔디밭에서 돗자리 깔아놓고 미리준비해 놓은 도시락 먹으면서 소풍을 하는것도 너무 좋을것 같네요~ 아이들과 먹을만한 식당이 없어서 식사후나 도시락 싸가는걸 추천드립니다. ",너무 좋아요
6,2017/06/12,5,서울에서 가깝고 자연환경을 잘 살려 조성해 놓은 휴식처. 힐링 목적이라면 주말 보다는 평일이 좋다. 아이들과 다니기도 좋아 자주 감.,남이섬
7,2017/05/04,4,배를 타고 가는 순간부터 내려서 남이섬을 걸어다니면서 걷는 순간순간이 매력있는 곳입니다. 계절에 따라 날씨에 따라 다른 매력이 있어 언제 방문해도 좋은곳 입니다.,걸어다니면 여행하기 좋은곳
8,2017/04/30,4,남이섬안의 정관루 하루밤 지낼만 하더군요.. 텔레비전도 없고 모닝콜도 없고새벽에 일어나 주변 호숫가를 거닐며 겨울철새들을 보는 재미도 좋았습니다..,여행
9,2017/03/06,2,가평 놀러갔다가 한번쯤 들를 만은 하지만 두번 다시 갈 필요는 없을 듯. 산책하기에 나쁘지는 않지만 딱히 볼 것도 없고 사람 바글바글하고.. 인사동 간 느낌이었다.,굳이 다시 가지는 않을 관광지
10,2017/07/19,4,"가족 단위나 연인 데이트 하기 좋은 곳이다. 섬 안에 나무들과 잔디밭, 타조, 박물관, 호텔, 음식점들, 물에 둘러쌓인 섬.. 바람쐬러 가면 좋은 곳이나 큰 기대를 하고 뭔가 있을거라고 생각하며 가면 실망할거다.",바람 쐬러 가는 곳 
11,2017/07/03,3,남이섬 다들 한번쯤은 가봤던 곳 그러나 두번가기에는 볼것이 부족한 곳인기만큼 ㅜㅜ그러나 한국을 대표하는 관광지....,춘천의 대표 관광지 남이섬
12,2016/10/27,4,언제나와 마찬가지로 남이섬은 마음을 설레게 한다.오랜만에 갔어요 약간 분위기가 달라지긴 했지만추억 속으로의 여행이었다.자전거 타고 섬을 돌고 나니 더욱 좋았다.,여전히 아름다움 추억의 남이섬
13,2016/09/04,5,배를타는 순간 추억을 만드는 세계로 여행하게된다. 자전거를 빌려 남이섬을 돌아보면 너무 시원하고 아름다워 영화속에 들어온 느낌이든다. 특히 메타쉐콰이아길을 걸으면 너무 행복해진다. 주말을 피해서 평일에 여행하면 더욱 남이섬의 아름다움을 만끽할 수 있게 된다. 강추~!!!,"""추억이 생기는 남이섬"""
14,2016/08/28,4,우리나라에 있는 섬들중에 대중교통을 이용해서가기에도 편하고 서울에서도 멀지 않아너무 좋아요~15년전부터 다녔었는데...지금은 더 활성화가되어 예전 느낌을 찾을순 없지만 변화된 지금의 모습도 너무 좋아요진짜 4계절 언제가도 좋은곳남이섬은 진짜 아끼는 곳이예요,남이섬
15,2016/08/16,5,개인 소유라더니 관리가 진짜 잘 돼 있네요정말 하나의 나라처럼 데이트하기도 좋고 아이들한테도 좋고사람들도 친절하고 좋은 경험이었어요중국인도 엄청 많고 외국인들도 좋아하는듯요저는 겨울에 갔지만 겨울에도 나쁘지는 않아요중간중간에 모닥불 피워놓은 것도 신선했어요단 이 안에 식당은 다 비싸요ㅠㅠ,생각보다 더 괜찮았어요
16,2016/08/12,4,여자친구랑 데이트하기 정말 좋습니다. 아이디어가 일단 신선하고 나미나라공화국 갈려면 여권스탬프 도장찍고 배를 타고 들어가야 합니다. 가면 다양한 탈것들도 있고 경치가 정말 좋습니다. 동남아 관광객분들이 정말 많습니다. 완전 추천합니다.,완전 강추
17,2016/06/17,4,오전에 가니까 사람도 붐비지 않고 너무 좋았습니다예전보다 놀이거리가 많이 생겨서 애들 놀기도 좋앗고요 나무가 우거져 더운줄 몰랏어요 나올즈음에는 다만 외국인 단체관광객들이 너무 많이 들어오는거같더라구여 사람없는때 가보세요,너무좋아요
18,2016/05/27,5,따듯할때 가야되는데 너무 추울때 가는바람에 배를 타는동안 덜덜 떨엇다 그래도 겨울에서만 느낄수 있는 것들이 잇기때문에 좋다고 생각한다,꼭 한번은 가봐야할곳
19,2016/05/23,4,남이섬 자체는 커플들에게 최고의 데이트코스 중 하나라는것은 변함이 없습니다만...입구에서 음식점들이 호객행위를 하거나 주차와 관련해서 좋지 않은 모습을 보이더라구요. 나미나라공화국 자체는 배타고 들어가야 되지만 10분도 안걸리니 배타고 산책하는 느낌?ㅋㅋ,남이섬은 좋으나 입구가..
20,2017/07/19,4,가평에서도 배를타고( 아주잠시지만)ㅎㅎ 산책하기 넘 좋은것같아요~~삼림욕하기도 좋고커플끼리 사진찍기도 좋구 추억만들러가기 좋아요펜션들도 있답니다~,커플들이 많은 남이섬~
21,2017/07/03,5,다들 커플이라 아쉬웠지만 친구들끼리도 가서 즐기기는 좋았어요 배타고 들어갈 때도 재밌었고 배도 크고 해서 좋았고 남이섬도 워낙 커서 좋았습니다,학교에서 여행갔는데
22,2016/04/15,5,"남이섬은 서울 근교 나들이를 위한 최고의 장소이다. 30년 전에도 그랬고 20년 전, 10년 전, 바로 지난 주도 그랬다. 남이나라라고 불리듯이 여객선을 타고 도착하면 마치 여유를 즐기기 위해 진짜 다른 나라를 방문한 듯한 착각에 빠지는 듯 하다. 겨울연가라는 드라마를 통해 외국 관광객에게 많이 알려졌지만, 잘 만들어진 메타쉐콰이어길이나 꼬마기차, 자전거를 타며 한가롭게 섬을 한바퀴 돌면서 산책을 하다보면 내 자신이 영화나 드라마 속에 있는 듯한 착각에 빠지게 한다. 봄에 느낄 수 있는 따뜻한 햇살을 맞으며 푸른 잔디밭에 돗자리를 펴고 연인 또는 가족들과 도시락을 먹어 보는 것도 좋은 경험이 될 것이다. 남이섬에서 운영하는 식당도 여느 관광지와 다르게 맛있는 음식을 제공하며, 아이들이 직접 공예를 체험해 볼 수 있는 프로그램도 다양하여 지루할 틈이 없다.",가족과 함께 즐거운 나들이를 즐기기 위한 장소.
23,2016/04/11,4,드라마에도 많이 소개된 장소이고 봄 가을이면 사람들이 찾는곳입니다. 배를 타고 들어가서 입장가능하고 다양한 볼거리를 제공합니다.,남이섬의 추억에 담기다
24,2016/04/05,4,힐링할겸 서울근교로 가기좋은장소입장료가 만원이라 후덜덜하지만 나름 유람선도 타고 경치도 구경할수있는곳숙소까지 이용하면 더 좋을것같은장소바람쐬러가기에 안성맞춤예전엔 일본관광객이많더니 요번엔 동남아쪽 관광객이많았음그러나 뭘 이용하던 가격이 좀 있다는건 단점 ㅠㅠ,나미나라공화국
25,2016/04/05,4,"비오는데도 생각보다 많은 사람들.. 남이섬 선착장에서 5분이면 나미나라공화국 도착, 입장료는 1만원이에요~운동보다는 멋진 사람과 운치있는 데이트~ 좋아요~",비오는날 남이섬
26,2016/03/23,3,가을기분을 즐길수있다.가족단위 와 연인 혼자서 도 와도 분워기에 어울릴수 있다.코너별로 이벤트 를 직접 참여할수있고.계절별로 이벤트성 행사가 자주 열리고.직접참여도 할수있당,행사
27,2016/03/05,4,"서울에서 itx나 경충선을 이용하여 가봤음, 예전에 차로만 다니다가 기차를 이용하니 한시간도 채 걸리지 않는다. 가평역에서 버스 또는 택시(기본요금보다약간 더나옴) 를 이용하여남이섬 선창장에서 입장권(1만원)을 구매 배에오르면 5분만에 도착한다.남이섬 안에는 산책길과 식사 음료 그리고 체험 을할수있는 곳도있고 박물관도있어 한적하게 걸어다니며 사진찍고 관람하기 좋다.","서울근교 남이섬,산책하기좋은"
28,2016/02/27,3,웃기지도 않게 사유지라고 독립국인거 마냥 컨셉을 잡고 운영하면서 왜 한국인은 더 비싸게 요금을 받는건지 이해할 수 없슴. 군인들 호송하는 배를 타는 기분. 의자를 설치했으면 좋겠슴.,남의 섬
29,2016/02/24,3,"하지만 한번 이상은.. 글쎄?유람선도 타고 입장료도 내고 하면... 그다지. 별로.프로방스가 유명하고, 청설모와 자전거 체험도 괜찮다지만얻는 기쁨에 비해 비용이 큰 듯하다. 데이트 명소로 유명하고, 주변 경관이 아름다우니 굳이 유람선을 타지 않고서 드라이브 코스만 돌아도 충분히 괜찮은 곳.",한번쯤은 가볼만한 곳
30,2017/07/19,4,드라이브겸 남편과함께 찾은 가평 남이섬남이섬에 들어가기전에 표를끈고 배를타고 들어가는데요~배값이 너무비싼거 같아요~하지만 한번쯤 기분전환하러가기엔 좋은거같아요^^남이섬에 들어가서 산책로도 거닐고 간식거리도 사먹으며 즐거운 추억을 쌓았어요^^♡,가평 남이섬
31,2017/07/03,4,겨울연가 촬영지로 유명한 남이섬겨울에 갔는데 눈도 많이 쌓이고 진짜좋음연인끼리 갔다가 가까운 방잡고 고기꾸워먹으면 최고임ㅋㅋ,겨울연가
32,2016/02/09,5,"섬 곳곳에서 다른 풍경과 재미를 느낄 수 있는 보석 같은 곳입니다. 계절마다 다양한 얼굴을 보여줘, 언제 가도 좋습니다.다른 계절에 다시 오길 기약하게 합니다. 가족여행으로도, 데이트코스로도 좋아요. 참, 타조한테 쪼일 수 있으니 조심하세요! ","계절마다 풍경이 달라져, 언제 가도 좋습니다."
33,2016/02/07,5,"저는 지난 10월 학생들 인솔차 몇 년만에 남이섬을 다시 방문했습니다. 오랜만에 들른 남이섬~ 역시 좋더라구요~ 배를 타고 남이섬 안에 들어가 아이들과 함께 저도 햇살 좋은 가을 날을 잠시 누렸습니다. 꼬마 기차 지나가는 것도 정겹고 키 큰 타조 노는 모습, 배용준 사진도 반갑더라구요. 키 큰 나무들 사이로 여유롭게 산책하고 의자에 앉아 가을 햇살 맘껏 받으며 한나절 보내는데 오랜만에 정말 힐링이 되어 너무 기분 좋더라구요.출출해서 점심도 먹고 차도 마시고~ 점심은 남이섬 안에 식당이 많이 있어 입맛대로 골라드시면 될 듯해요.아이들도 하늘 자전거도 타고 잔디밭에서 게임도 하며 즐거워했구요.남이섬은 이런 단체 여행이나 가족 여행으로도 아주 좋은 곳이고, 연인들끼리 가을을 맘껏 누리기에 딱 좋은 곳인 것 같아요. 이번 가을 노란 은행 나무 가득한 남이섬 여행 한번 계획해 보세요~",사랑하는 연인들이 가을 나들이 가고 싶을 때 남이섬을 똑똑~
34,2016/02/03,3,1월의 남이섬은 매우 추웠습니다만 그렇다고 못걸어 다닐정도는 아니었어요. 가족이랑 갔는데 메타세콰이어 길도 멋졌고 강이 얼어서 나는 소리도 신기했네요. 근데 그거왜에는 그냥 그래서.. 입장료도 비쌌구요 인당 만원이었나..,처음 가본 남이섬
35,2016/02/01,5,"나미나라 공화국이라고도 하는 이곳은 연인들의 나라입니다.커플이 아니면 꼭 친구들 많이 오시길 추천합니다.,",남이섬
36,2016/01/30,4,"겨울연가로 유명한 남이섬은 산책로도 좋고 작은 세계에 들어와 있는 것과 같은 느낌이 너무 좋습니다. 데이트로 가는 것도 좋고, 드라이브가는 것도 좋습니다.",겨울연가로 유명한 남이섬
37,2016/01/28,4,분위기 좋고 너무 기대만 안하면 매우 좋은 데이트 장소입니다. 날씨가 안좋아서 안개가 너무 심해 제대로 즐기지 못한것이 아쉬웠습니다. 셀카봉은 필수입니다^^,사람만 붐비지 않으면 
38,2015/12/31,4,"잘 해놨고 돈 아깝지 않았네요 밤에 더 이쁘고 사람 많은것만 빼면 괜찮습니다 참고로 겨울에 갔는데도 사람 많네요중간에 군것질 꺼리도 팔고 오전에 가시면 공연도 볼수 있을듯 하고, 여름엔 수영장도 여는듯 하네요중간중간 장작불 피워놓는것 너무 좋네요",잘해놓은 여행지
39,2015/12/31,5,서울에서 2시간 남짓한 거리면 갈 수 있는 춘천 남이섬.지금 가면 조금 춥겠지만 데이트 하기 좋아요~ 메타세쿼이어길도 이쁘고봄가을에는 행사가 많아서 그냥 준비없이 가더라도 볼거리가 많습니다.남이섬 안에 박물관도 있어 유아동반 가족단위 당일 여행으로 좋을 것 같아요.안에 음식점도 있으니 식사 걱정은 안해도 될것 같네요~,춘천의 대표적인 데이트코스
40,2017/07/19,4,데이트하기 좋습니다.날이 좀 춥긴 하니 따뜻하게 입고 가신다면 남녀노소 누구나 좋아할 분위기 있는 데이터 장소로 적절합니다.,데이트하기 좋습니다
41,2017/07/03,4,"가을산책로를 걷는 낙엽거리를 걷고싶을때, 동화속의 주인공이 되고싶은 여유가 필요할때, 배를 타고 남이섬으로 가보면 어떨지..공연과 전시물이 가득한곳.",추억을 만드는곳
42,2015/12/05,5,저는 겨울에 방문했는데도 사람이 많습니다.그만큼 많은 사람들이 방문을 하는 곳이며 배를 타고 들어가거나 짚라인으로도 이동이 가능한 곳이며 안에는 막거리등 맛있는 음식점도 있습니다.,남이섬
43,2015/11/27,4,들어가는 배가 좀 그래도 부담이긴 하지만 도심에서 벗어나서 예쁜 조형물과 나무들이 많아서 산책하면서 여유 느끼기엔 진짜 좋은곳이다~ 여유 느끼면서 기분 최고!,도심에 벗어난 여유있는곳
44,2015/11/02,5,"봄에 한번, 가을에 한번 가는데요.봄에는 싱그러울때 가면 기분이 정화되요.가을엔.. 은행나무 보러 갑니다.은행나무가 금빛색깔을 내는 곳은 이곳밖에 없는거 같아요.정말 이쁩니다.뭐 이곳은 너무 이뻐서 사진 출사를 많이 오긴 하죠.",매년 2번 이상 찾아가는 남이섬 입니다.
