,dates,rating,review,title
0,2017/06/12,5,어린이날에 가벼운 마음으로 들렀는데 생각보다 규모가 너무 커서 놀랐습니다. 동물원을 모두 들러보는데 4~5시간정도가 소요되었습니다. 보행이 불편하신 분이 방문하기는 조금 힘들 것 같습니다.(휠체어 대여가 되는지는 모르겠습니다.)동물 수가 매우 다양하고 렛서팬더 등 평소에 다른 곳에서는 보기 힘든 동물들이 있어서 매우 좋았습니다. 방문하시기 전에 돗자리와 간단한 도시락을 준비해오면 더욱 좋을 것 같습니다.,규모가 아주 큰 동물원
1,2017/03/08,5,소풍이나 가족 나들이 시기를 안 겹칠 수 없겠지만그 사람이 많은 와중에도 동물들을 맘껏보고 쉬고 놀고너무 좋아요 가깝다면 자주 갈텐데 맘먹고 가야하네요애기들도 예쁘고 동물들도 예뻐요^^,♡♡좋아요
2,2017/01/31,5,대공원은 우리나라 최대의 동물들이 많이 있어서 가족이나 친구들이랑 가기 좋은 곳이예요 아기들도..동물 좋아하고..데이트하기에도 좋아요 ~,우리나라 최대의 동물원 ~
3,2017/01/17,5,"동물보러 자주 갑니다. 가격도 착하고 관리도 잘 되어 있습니다. 가격, 혼잡도, 동물의 상태 등 모든 면에서 근처의 에버랜드 사파리보다 훨씬 났습니다.",세금이 유용하게 쓰이는 곳
4,2016/10/12,5,도시락가지고 산책하기 좋은 코스이다. 걷기 힘든 사람은 코끼리 버스를 타고 제일위로 올라거서 아래로 걸어내려 오면 더욱 편리하구 좋다.,아이들과 즐거운 시간
5,2016/10/03,5," 휴일이고 날씨도 좋아 관람객이 정말 많았습니다. 치킨을 먼저 사고, 리프트를 타고 입구에 도착. 동물원 안 호랑이사 가는 리프트는 50분 가량 기다려야 되어 걸어서 관람 시작 하였고, 곤충관, 야행관, 남미관 거쳐 곰, 호랑이 보고 나니 기운 없어 리프트 타고 내려왔습니다. 산책, 운동, 공부 모두 즐겁게 한 보람찬 하루 입니다~","날씨도 좋고, 동물도 보고~"
6,2016/09/17,5,입장료는 오천원이고 가을이라 나무도 예쁘고 좋네요.예전보다 시설이 개선이 많이 되서 엄청 관람하기도 좋아졌네요.엄청 커서 그냥 편하게 돌아봐도 두시간은 넘게 소비되는것같아요!,좋아요
7,2016/09/12,5,"9시 개장시간에 맞춰서 갔더니 사람이 별로 없어서 좋았어요.리프트도 대기 없이 바로 탔고,인기 많은 동물도 우리 일행끼리만 구경해서 더 좋았어요.나중에 12시쯤 되니까 사람도 많아지고 복잡해져서 힘들었습니다.일찍 가시는거 추천드려요.저희는 유아 2명, 60대 부모님과 같이 가서 걷는게 부담스러워서 리프트 탔어요.아이들이 리프트를 아주 좋아해서 돈 아깝지 않았어요.리프트 타고 가다보면 중간에 사자도 볼 수 있습니다.",가족나들이로 좋아요.
8,2016/05/29,4,어릴 때 자주갔던 서울대공원을 최근에 다시 가봤다. 주말이라 사람이 많았지만 워낙 부지가 넓은 곳이라 차분하고 평온했다. 돗자리 펴고 그늘 밑에 누워 쉬다 오기 참 좋은 곳이다.,넓직해서 사람이 많아도 평온하게 쉴 수 있는 곳
9,2016/05/25,5,제2호교 밑에 있는 공터로 가족 소풍을 갔습니다. 벤치도 있고 호수도 있고 매우 좋습니다. 근처에 카페베네도 있습니다. 걷기 어려우시다면 코끼리 열차 서울랜드 앞에서 내리면 됩니다.,서울대공원 가족소풍
