,dates,rating,review,title
0,2017/07/14,5,"멋진 장소인 만큼, 정상까지 꼴 올라가서 멋진 풍광과 시원한 바람을 즐기기 바랍니다. 음료수를 제외하고 음식을 갖고 입장할 수 없다는 점을 고려하시기 바랍니다.",이미 널리 알려진 명소지만 역시 좋은 곳
1,2017/07/11,5,아침에 운동겸 해서 쉬엄쉬엄 올라갔다왔어요.사진찍기에도 너무 좋고 성산 뷰를 한번에 볼수있어 좋았습니다.,성산 뷰를 전체적으로 볼수있어 너무 좋았습니다.
2,2017/07/14,5,제주도 느낄 수 있음. 올라가기 좀 힘든데 뷰가이쁨 제주도 자연경관중에 손꼽히는 명소. 제주 갈때마다 가는곳,뷰 좋고 좋아요
3,2017/07/11,5,겨울에 가서 그런지 바람도 많이불고 추운데 계단오르니까 덥고 힘들고.. 게으름탓에 일출을 보지는 못했지만 막상 올라가보니 풍경이 너무 아름다웠어요,계단이 많아요
4,2017/07/11,5,제주도에서 유명한 관광지다. 외국인들도 많이 오고 늘 관광객이 많은 곳이다. 새벽에 가서 해가 뜨는 모습을 보면 무척 좋다.,제주도에서 꼭 가볼만한 관광지
5,2017/07/10,5,"제주일출봉에 들렀다가 제주스러운 맛집을 찾다! 알쭈성산점♡흑돼지와 전복 새우와 갑오징어, 쭈꾸미가 들어간 알쭈스페셜 철판볶음요리를 먹는 순간 제주를 품은 맛을 느껴볼 수 있어요",알쭈성산점 
6,2017/07/09,4,"도민된지 얼마안되서 무료입장되서 만만히보고 시작했다가.. 물은 꼭 들고 올라가세요물없이 올라가는건 저밖에 없더라구요ㅎㅎ막상 올라갔을때 위에서 바라보는 그 광경은 사진에 들어가지도 아니하고, 눈으로 보셔야해요!!",만만히보다가..
7,2017/07/06,5,ㅈㅔ주도 명소. 올 때 마다 들르는데 트래킹 코스로 최고이고 정상에 넓게 펼쳐진 광경에 혀를 내두릅니다.,좋아요.
8,2017/07/06,5,예전에는 제주도 하면 제일 일순위로 꼽혔던 곳입니다. 지금은 제주도에 워낙 많은 관광지들이 있어서 후순위로 밀리곤 하지만 오랜만에 방문한 일출봉은 멋있었습니다.,경치 최고
9,2017/07/02,4,겨울이라 가능했던 일출ㅎㅎㅎ 정말 예쁘지만 추웟어요.... 역시 제주도.... 그래도 새벽부터 운동도 할겸 성산일출봉 올라가서 일출보기!!,일출하면 성산일출봉!
10,2017/07/14,5,한번은 올라가서 길목마다 멈춰서서 그 바다와 전경을 바라보라. 오묘한 자연의 아름다움에 탄성은 끊임없이 나온다..그 뜨거운 햇빛아래서도 후회없을것,등산이 싫어도 내생애 마지막이라 생각하고 오르라
11,2017/07/11,5,탁트인 넒은 곳참 아름다워요 바다바람에 머리가 난리 나지만 가슴이 뻘 뚫리는 멋진 곳!!,바다바람에 시원해지는곳!!!
12,2017/06/24,5,사실 일출을 보기는 생각보다 쉽지 않지만 그래도 장관이에요! 올라갔다 내려오는데 한시간쯤 잡고 가는게 좋아요~! 내려오니 다리가 후덜덜.. ㅋㅋ,운동삼아 올라가기도 좋고
13,2017/06/19,5,성산일출봉은 배를타고 그 주변을 둘러보는 것도 좋고 더 자세히 보려면 직접 가는것도 좋아요,필수코스
14,2017/06/17,4,바람이 좀 많이 불었지만 성산일출봉을 올라가며 보는 뷰는 정말 최고였어요~ 꼭대기에서 시원하게 트인 시야가 정말 꼭 올라가서 한번 볼만한거 같아요~,최고예요~
15,2017/06/15,5,제주도에 오면 성산일출봉은 꼭 봐야함 성산일출봉을 여러번 봤지만 매번 볼때마다 정말 멋지고 새로운 모습을 보여 줌 특 히 해무가 있을 때 보면 예술작품이 따로 없음 위에 올라가기도 크게 부담스럽지 않은 높이 임,제주도에서 가장 멋 있는 성산일출봉
16,2017/06/12,5,"제주에서 가장 많은 여행객들이 찾을것 같은 성산 일출봉가까이 우도 방문 예정자라면 성산일출봉은 당연 들려야 하는곳.제주의 화산지형과 바다, 특이 나무 들을 관찰할 수 있는 곳으로근처 유명 뚝배기집이 많다. 성산일출봉 앞의 스타벅스는 비오는날 분위기가 좋아. ",제주 필수 방문코스
17,2017/06/06,4,제주에 왔다면 여기는 필수 코스이죠. 봄에 오면 주변으로 예쁜 꽃들이 피어 있고 드라이브로 최고의 코스 중 하나 같네요. ,제주의 상징다움
18,2017/05/29,4,호텔 근처에 있는 성산일출봉에 말을 타러 갔습니다 ㅎㅎ그렇지만 날이 흐려서 인지 아니면 중국인이 없어서 그런지 하필 제가 들린 날은 말이 없더라구요 ㅠㅠ아쉽지만 다음을 노려보려구요 ㅎㅎ가격은 10분에 5000원이라고 하네요 ㅎㅎ성산일출봉 오르는데는 10분정도 소요 되구요 조금 경사가 있네요 ㅎㅎ저 처럼 체력이 후지??ㅜㅜ 다면 조금 숨이찰거에요 ㅎㅎ그렇지만 경치는 너무 이뻐요성산일출봉 올라가기전이나 다른 곳으로 이동할때 유채꽃이랑 사진찍는것도 추천해드려요 ㅎㅎ,성산일출봉 다녀왔어요 ㅎㅎ
19,2017/05/20,5,제주도에서 가장 좋아하는 장소~! 오르내리기위해서는 다리가 조금아프지만 꼭 가봐야할 곳입니다 좋아요~! ,멋져요
20,2017/07/14,5,제주에서는 필수코스죠. 요즘은 중국인도 별로없어서 좋고. 다만 요즘 성일봉 앞이 다... 프렌차이져가 들어와서 아싑..,필수코스죠
21,2017/07/11,5,올라가는게 힘들었지만올라가서의상쾌함은 최고였습니다아주 특이한 형상의 분화구였구 바다와 같이 있는게 너무 멋있었어요한마디 밖에 멋있는거 말고 달리 표현할 방법이 없네요,멋있는곳
22,2017/05/08,4,멀리서 바라보았다제주 동남부의 상진이라 할 만큼멋지다.한화 아쿠아리움쪽에서 보이는 풍광도좋으므로 시간이 없을때는 멀리서 바라보는 것을 추천한다,효도여행
23,2017/05/06,5,"성산일출봉은 오르기는 무척 힘든데 한번 들어가면 빠져나오기 힘든 곳이다. 해녀 물질공연, 정상에 올라가서 등 재밌고 소중한 요소들이 같이 있다. 제주를 느낄 수 있는 곳.",동쪽에서 꼭 가봐야할 곳
24,2017/05/05,5,우리가 간날은 수학여행 온 학생들이 제법있었어요~~바람도 선선하고 날이 넘 좋아 바다도 환상이였어요~다음엔 꼭 일출을 볼려구여~ㅎㅎ,멋졌어요
25,2017/04/25,4,일출봉 위로 산책하는 길에 한번씩 뒤를 돌아 보면 주변 풍경이 시원하게 들어와 좋은 곳이다.,제주도를 방문하면 꼭 가야 하는 세계자연유산
26,2017/04/24,5,4월 한달간은 무료입장이 가능하니깐요~ ㅎㅎ성산일출봉에서 바라본 뷰는 어메이징 ㅠㅠ 두번갔는데 또 가고싶음!,성산일출봉 꼭 방문해야합니다
27,2017/04/11,5,20여년전 수학여행이 떠올라 즐거웠어요. 아이들이 좀 힘들어 하긴 했는데 올라가서 제주시내 내려다 보고 좋아했어요. 제주 필 수 관광지이예요.,제주시내를 한눈에..
28,2017/04/10,4,스타벅스 성산일출봉점에 갔었다. 하지만 바로 앞에서 보는 것 보다 멀리 광치기 해변 스타벅스에서 바라보는 성산일출봉이 더 좋았다. ,계속 봐도 질리지 않는 곳. 
29,2017/04/05,5,제외재주도민이라면 도민증을 가지고 입장 할 수 있는 무료 국립공원 시설중 하나입니다.입장을 하고 왼편으로 가면 해녀분들이 파시는 신선한 해물도 접할 수 있고 위쪽으로 올라가면 일출봉 안에 있는 나무 한그루도 발견할 수 있습니다 다만 올라가는 계단 수가 워낙 많다보니 힘든 점은 있습니다,제외재주도민이라면
30,2017/07/14,3,대중교통으로도 이동이 용이하고 주변에 카페나 패스트푸드점 등의 시설이 있어 편리합니다. 입장료는 성인기준 2000원으로 전체적인 코스는 그렇게 크진 않아 부담없이 다녀올 수준입니다. 일출봉은 해뜨는 시간대에 방문을 권장하며 나머지는 바닷가쪽 산책 코스가 더 좋았습니다.,한번쯤 방문해볼만한 장소
31,2017/07/11,5, 너무 멋있는 장소입니다. 항상 많은 관광객들이 방문하는 장소이지만 제가 방문했을때는 중국정부의 한국여행 금지 방침으로 한산했습니다. ,한라산과 더불어 제주도의 랜드마크
32,2017/03/30,5,유네스코가 인증한 제주도 세계지질공원 중 하나입니다. 연말연시가 아니더라도 제주 여행이라면 이 곳에서 일출을 봐야할 것 입니다. 정말 황홀함 그 자체입니다,최고의 일출 명소
33,2017/03/27,5,가파른 트레킹코스를 올라가면서 볼 수 있는 성산의 전경~ 정상에 올라 보는 일출의 광경최고의 관광지라해도 과언은 아니다~게다가 해녀체험의 엑티비티 또한 이곳의 묘미다제주도에 오면 꼭가봐야할 곳이다!!,최고의 광경~ 제주도의 심장
34,2017/03/24,5,어머니를 모시고 다녀왔어요. 평소 무릎이 좋지 않으셔서 천제연이라든지 성산일출봉은 무리실 듯 해서 주상절리로 모시고왔어요.많이 걷지 않으면서도 빼어난 경관을 볼 수 있어 좋았습니다.,후회없는 선택
