,dates,rating,review,title
0,2017/06/27,4,"여수 앞 바다를 가로 지르는 케이블카. 여수에 왔다면 꼭 타봐야지요. 조금 짧은 것 같긴 하지만 만족합니다. 굳이 크리스탈 케이블카를 탈 필요는 없어 보입니다. 케이블카 정류소 양쪽 모두 편의점, 먹을만한 식당도 잘 되있습니다.",가족여행
1,2017/06/19,3,바닥이 보이는 크리스탈과 일반이 있지만 가성비를 고려했을때 일반 케이블카로 하는 것이 효율적임그다지 바닥으로 볼만한 것이 없음,바다위를 가로지르는 케이블카
2,2017/06/27,5,"해질때 가면 좋다 하는데 일정상 낮에 방문 했었어요. 가족들끼리 케이블카 타고 주위서 군것질 하기 좋아요. 일반 케이블은 130000원 이고, 바닥이 크리스탈로 투명하게 되어 있는 건 2만원 입니다. 고민끝에 무서워 하는 사람이 있어서 일반 케이블카 탔는데 크리스탈도 괜찮을 듯 합니다. 8인승이라 가족모두 탈수 있어 그 부분이 정말 좋았어요",여수가 한눈에~
3,2017/06/19,5,아이들은 아래가 훤히 보이는 크리스탈 케이브카를 타고도 전혀 무서워하지 않았다.서실 경치는 옆쪽이 더 좋았지만 아래가 보이는 게 신기하긴 하다.케이블카를 내려서 길을 따라 내려가면 관람료를 받는 거북선이 있는데 이순신 광장에 가면 무료로 관람할 수 있으므로 굳이 가지 않아도 될 것 같다.,경치가 멋진 케이블카
4,2017/06/01,5,최고네요 한눈에 보이는 여수경관이 아주 멋졌어요 비가 좀 오는 날이었는데 비가 안왔다면 더 멋있었을거 같아요,여수에서 꼭 해봐야하는것!!!
5,2017/05/28,5,여섯살 딸도 정말 즐거워했어요. 생각보다 탑승시간이 길었고 높이가 높아 다소 아찔한 구간도 있었습니다만 전반적으로 좋았습니다.,야경이 좋네요
6,2017/05/16,5,작년에 갔다가 두번째 캐이블카인데 저녁애 갔더니 사람도 없고 그냥 가면 바로 탈 수 있어서 좋았어요. 부러 반대편에서 타서 오동도 앞으로 왔다가 다시 갔어요. 호텔을 그쪽애 잡았더니 좋더라구요.확실히 야경이 좋아요,저녁에는 한산해요
7,2017/05/14,5,사람이 적은 오전에 오세요. 야경도 멋있겠지만 화창한 날 풍경도 시원하고 좋아요. 크리스탈(유리바닥 5인승)과 일반(8인승)이 있는데 선호 타입으로 표 끊으시면 되요,멋지네요
8,2017/05/03,4,주말에 사람이 너무너무 많았는데. 줄을 서길래 같이 섰는데그게 탑승장 엘레베이터 타는데 한시간 매표하는데 한시간 케이블카 타는데 한시간 정말 대단했어요. 그래도 케이블카 타고 보는 야경은 좋더라고요~,여수를 한눈에
9,2017/04/16,5,여수의 멋진경관을 바다위를 가로지르며 볼수있어서 너무 좋았습니다. 낮도 좋지만 밤에 타보는것도 추천합니다.,케이블카 추천합니다~
10,2017/06/27,5,여수여행중 최고여수시내가 다보이고 밑으로는아찔함도느끼고밑에크르즈배가지나고하멜등도보인다오동도랑연결되어있어갔다가다시케이블카 타고오면된다,부부여행
11,2017/06/19,5,야경을 본다면 정말 최고입니다. 편도로 이용하였습니다. 오동도부터 돌산공원까지이고 밤의 까만 바다와 건물들의 불빛이 정말 아름다워요,굿👍
12,2017/03/19,5,저녘에 해질무렵이라 야경은 못보는줄 알았는데 해가 금방 넘어가면서 야경을 제대로 봤네요 아래로 보이는 하멜등대도 이쁘고 도착해서 돌아본 공원도 조명으로 화려했습니다,좋습니다
13,2017/03/03,4,한번은 타 볼만한. 경치가 너무 아름다움. 겨울이라 줄이 길지 않았는데 관광객이 많을 땐 한참 기다릴 수도. 바람이 불때는 흔들려서 야간 찌릿하기도 여수의 전체를 볼수 있었슴,아름다운 뷰
14,2017/02/27,5,돌산공원에서 오동도 자산공원까지 연결되는 해상케이블카. 투명한 바닥 선택 가능. 자산공원 도착 후 카페에서 차한잔 하면서 보는 오동도와 남해 바다 풍경이 좋음. ,탁트인 시야
15,2017/02/15,4,바다를 한눈에 볼수 있는 해상케이블카...가족여행에 경험했던 또하나의 모험...투명 바닥이라 더 생동감이...,바다를 한눈에 여수 해상케이블카
16,2017/02/04,5,'여수밤바다~'의 노래를 들으면서 케이블카에서 바라다보이는 야경은 운치가 있고 멋있었다. 말만 들어서 경험해볼순 없으니까 꼭 타 보시길 바랍니다.,밤바다와 야경
17,2017/02/03,4,짜릿하게 바다를 내려다보면서 바다를 건널 때 절로 탄성이 나올 수 있습니다. 낮에도 좋지만 저는 해가 질 무렵 조명이 시내에 들어오기 시작할 때 석양을 보면서 이용하는 것을 추천합니다.,짜릿한 바다 조망
18,2017/01/17,3,공휴일같은 빨간날에는 사람이많아서 타는데만 1시간이 넘음크리스탈캐빈을 이용하면 대기시간이 반으로줄어드니 한번 타보는것도 나쁘지않고엘리베이터로 11층까지 올라갈라고만하지말고건강생각해서라도 계단이용 추천,케이블카
19,2017/01/03,4,오동도를 보기위해 저녁먹고 케이블카를 탔습니다케이블카 밑으로 여수밤바다가 흐르며 화려하지않지만 알록달록 이쁜 조명은감상에 젖어 작은 행복감을 느끼게 해주네요^^,야경이 좋아요~
20,2017/06/27,4,"기다림이 길고 다른 일행과 같이 타야하는게 좀 불편했지만, 케이블카를 타면서 여수의 경치를 감상할수 있고 정말 좋았습니다.",좋아요~~
21,2017/06/19,4,바닥이 투명이라 조금 무서웠습니다. 가격은 살짝 세긴 한데 여수 관광지가 넓은 편이 아니라서 여길 방문하면 다 볼 수 있습니다. 여수의 밤바다를 볼 수 있어서 좋습니다. 겨울이라서 그런지 사람도 그렇게 많지 않아서 더 좋았습니다.,케이블카가 있으니 꼭 타세요.
22,2016/12/13,4,바닥이 투명으로 되어 있는게 조금 더 비싼데앞뒤 옆 둘러 보느라 바닥 구경할 사이 없으니 그냥 보통 타셔도 무방합니다. 바닥이 뿌옇게 되있어서 잘 보이지도 않아요.,뷰가 좋으니 한번쯤은 꼭 타보세요.
23,2016/12/09,4,늦은밤에 타서인지 생각보단 조금 더 무서웠던 곳.하지만 약간 쌀쌀한 밤이라 그런지 사람도 별로 없어서 많이 기다리지 않고 탈 수 있었음.여수 근처의 멋있는 교각들과 야경을 한 번에 즐길 수 있어서 좋았음,은근히 스릴있던 케이블카
24,2016/12/05,5,여수해상케이블카는 여수를 한눈에 볼수있는 기회를 제공한다. 꽤 오래탈수있고 시간도 10시부터 밤10시까지 하기때문에 특히 야경을 보기를 추천한다. 그리고 왕복으로 끊는것과 편도는 3천원차이기때문에 왕복티켓을 끊기를 추천함,여수의 경관을 한번에 느낄수있는 엑티비티
25,2016/11/30,4,아래가 다 보이는 크리스탈캐빈을 타고 아기와 함께 좋은 추억을 남겼습니다. 인기가 많아 조금 기다렸지만 만족합니다 ,크리스탈캐빈
26,2016/11/11,3,야경은 예쁜데 기다리고 내는 돈에 비해서 너무 빨리 갔다 빨리 온다. 한 번 쯤 타볼만 하지만 기다리는거 싫어하는 사람에겐 추천하지 않는다. 그리고 사람이 너무 많아 케이블에 모르는 사람들이랑 함께 탈 수 있으니 참고하세요~,야경은 예쁘지만
27,2016/11/11,4,여수의 경치를 보기위해 해상케이블카를 타러 서울서 내려갔는데내려가는 야경도 아주 멋졌고케이블카 타는 야경 또한 멋졌다,친구모임여행
28,2016/10/26,3,어른들이 좋아하시더라구요. 구간은 짧구요. 돌산공원에서 오동도 앞까지 가는거예요. 야경도 좋겠지만 낮에 잔잔한 여수 바다위를 가로지르는 것도 좋았어요.,엄마 친구분들과 나들이
29,2016/10/09,4,연휴 오전 10시경 방문하여 10분여 대기 시간으로 탑승 하였습니다.이용한 날 날씨가 좋지 않아 아쉬웠으나 오동도 엑스포 공원과 가까워 이용하기 편했습니다.,가족여행
30,2017/06/27,2,해상 케이블카 안타본사람은저녁에 타는걸 추천케이블카 많이 타본사람은야경이 꼭 보고싶다면 추천,쏘쏘
31,2017/06/19,4,큰 기대만 하지 않는다면 한번 쯤 들려볼만한 곳. 다만 가격이 더 비싼 크리스탈은 바닥을 통해 바다와 도로만 보이기에 사람에 따라서는 실망할 수도......,한번 쯤 가볼만한 곳
32,2016/09/24,5,생각보다 빨라서 조금 놀랐구요. 비가 오는 날 탔는데 운치가 있어서 좋더라구요. 여수의 전경이 한 눈에 내려다 보여서 좋았습니다. ,비오는 날 탔는데 운치 있었어요
