,dates,rating,review,title
0,2017/07/06,5,버스를 타고 들어가도 괜찮고 걸어서 가도 참 젛아요~해질녘에 석양이 참 좋더라고요~음악분수대와 거북선이 있는 곳도 볼만합니다~,걸어서도 굿
1,2017/06/27,4,좋아요~ 풍광도 좋고. 즐길 거리도 제법 있네요. 모터보트는 꼭 타보세요. 짧은거 말고 긴거 ㅎㅎ 아이들도 엄청 좋아하네요. ,가족 여행
2,2017/07/06,5,오동도는 산책하기 좋은 트레킹코스로 한시간 남짓의 거리오 전망대와 섬 주위의 이곳 저곳을 둘러 볼수 있는 코스로 되어 있어 아이들과 노인분들에게도 좋은 산책 코스입니다.,산책하기 좋은 트레킹코스~
3,2017/06/27,3,열차이용시간이 지나면 유아동반으로 등대오르기는 어렵습니다 또한 섬내의 조명이 그렇게 밝다고 보긴 어렵습니다. 너무 한낮에는 그늘을 만들수 있는 곳이 아닌지라 섬까지 이동이 힘드니 가족 여행시 참고하세요,유아 동반시 참고하세요
4,2017/06/17,4,작은 아이는 열차라면 다 좋아하는 것 같다.꼬마열차를 타고 들어갈 수 있어 좋고음악분수도 있어 밤에는 더 운치가 있을 것 같다.등대까지 가벼운 등산로도 유치원생과 함께 갈만하고 둥대에는 엘리베이터가 있어 부담 없다.조금 일찍 갔으면 여기 저기 더 산책도 했을 것 같고 동백꽃이 피었을 때 갔으면 더 멋졌을 것 같다.,동백꽃이 피었을 때 갔더라면 더 좋았겠지만
5,2017/06/04,5,따뜻한 봄날이어서인지 공휴일에는 사람이 많네요. 가능하시다면 평일 방문을 추천드립니다. ㅇ오전에는 해무 덕에 더 운치 있을수도 있고 아님 시야가 가릴 수도 있지만 덥지 않아 오전이 산책하기 좋습니다,사람 구경 바다구경
6,2017/05/28,4,날씨가 좋아서 걷기 좋았어요~ 2시간 가량 걸을 정도구요~ 차량은 유료 주차장에 주차하고 섬으로는 걸어가거나 코끼리 열차 타야 해요~ 열차는 왕복 1600원이고 주차료는 30분 500원에 추가 10분당 200원요,나들이 좋아요~
7,2017/04/16,4,"오동도는 여수엑스포지역 엠블호텔 부근에 위치해있어서, 새벽에 조용히 산책하기 좋은곳이다. 나무들이 우거져 있어서 연인끼리 손잡고 걷기는 매우 좋은거 같음. ",새벽에 조용히 산책하기 좋은곳
8,2017/04/07,2,모든점이 좋았으나 인테넷 wifi가 어느방이든 안되는 호텔이라....영 기분이 나질 않았음.해외에서 온지라 모바일인터넷이 안되어 호텔은 당연히 맀으리라 했다가 낭패를 봄.,가족여행
9,2017/04/06,4,풍경도 좋고 바다내음도 좋고 횟집도 있고 크지 않아서 구경하는데 시간이 오래 걸리지않아요~전용 관람차타고 굿,구경가세요 굿
10,2017/07/06,4,가족들과 부담없이 산책을 다녀올수 있는 오동도였습니다. 왕복 1시간30분에서 2시간정도면 충분히 오동도를 둘러보고 올 수 있습니다. 물론 섬 내에 작은 산을 오른다면 넉넉히 1시간정도 더 투자하시면 됩니다. (유아동반한 가족들은 조금 힘들수도 있어요) 군데군데 볼만한 벽화나 음악분수도 있어 재밌게 둘러볼 수 있습니다.,꼭 추천하고 싶은 여수의 1순위 관광지
