,dates,rating,review,title
0,2017/03/08,4,"원숭이, 돌고래, 바다사자 쇼를 하는 곳으로 6세, 8세 어린이가 있어서 방문하게 되었습니다. 개인적으로는 아쿠아플라넷에서 하는 쇼보다 재미있다고 생각이 되었고, 마지막에 돌고래와 사진 찍을수 있는 기회를 주는 것도 좋았습니다. 유료이긴하지만 비교적 저렴한 비용으로 아이들에게 좋은 추억이 될 수 있을 것 같습니다.",어린이가 좋아하는 곳
1,2017/02/14,5," 샹그릴라 요트 투어를 재밌게 했습니다. 술과 간식을 제공하고 1시간 쯤 돌아보는데 꽤 재밌었습니다. 날씨가 좋아 배도 별로 안흔들렸구요. 낚시 잠깐하는데 작은 물고기 한자리 잡았고, 다시 놓아주었는데 아이와 함께한 즐거운 경험이었습니다. ",요트 타면서 낚시도 맛보기로 했습니다~
2,2016/12/12,5,요즘 돌고래쇼를 보기 힘들어요. 아이들에게는 최고입니다. 티몬등에서 미리 구입하면 절약할 수 있어요,돌고래와 함께...
3,2016/11/24,5,"원숭이, 바다사자, 돌고래의 3종 쇼 볼만했어요. 5살 아이가 정말 좋아하더군요.옆 자리에 50~60대 아주머니들 앉아계셨는데 그 분들도 정말 재미있게 보시더군요.아이나, 부모님 모시고 간 가족여행객들은 가보시면 좋을거 같아요.다 끝나고 돌고래랑 손잡고 폴라로이드 사진 찍는거 아이가 하고 싶다고 해서 하긴 했으나, 좀 비싼감이.. 그래도 추억이니 하게 되더라구요.",가족여행으로 가시면 방문하실만 해요.
4,2016/09/20,4,공연에 나오는 원숭이 바다사자 돌고래 쑈보고난뒤돌고래랑 악수하면서 사진찍는데~~ 아이들이 참좋아하더라구요!!아이들이 있다면 추천드려요!!!,아이들과 함께 강츄
5,2016/05/11,5,저는 비오는날방문했는데요 시스템은 올드하나 쇼는 그래서 구경할만 했습니다. 다만 조금더 잘 했으면 좋겠ㅇ요,비오는날 가기좋은날
6,2016/05/04,5,해양레져 테마파크 답게 중문해수욕장 바로옆에 있으며아이들이 좋아하는 퍼시픽랜드 돌고래쇼장과 그라고 샹그릴라요트장 그리고 뷔페식당까지 다양한 경험을 할수있는 곳이였답니다.,다양한 테마파크가 있는곳
7,2016/03/31,3,"돌고래 좋아하는 아이 보려주려달려간 중문 퍼시픽랜드원숭이 공연이 이후바다사자 공연타임조련사의 말을듣지 않은 하늘이의일탈로 한시간넘게 기다리다환불조취 ㅠㅠ동물 세계일이라 뭐라 할수도 없고일단 아이실망, 시간낭비",평가보류!
8,2016/01/14,4,"기존에 입장료는 비싼편이라서 소셜로 미리 구입해서 좀 저렴하게 구입했구요, 원숭이쇼, 바다사자쇼, 돌고래쇼로 구성되어서 50분정도 했어요. 어른관광객도 꽤 많은편이었는데, 쇼는 아이들보기에 적당했던것 같아요.",아이는 좋았데요~
9,2015/12/24,4,저렴한 가격으로 동물쇼를 관람할 수 잇어요. 한시간 입니다. 아이와 함께나 부모님과 함께도 관람하기 괜찮더라고요,중문 퍼시픽랜드
