,dates,rating,review,title
0,2017/07/18,5,튜브나 구멍조끼가 있다면 워터파크급 파도속에서 재밌게 바다를 즐길수있어요주차장과 해변거리가 있어 좀 불편한게 단점,파도가 워터파크급
1,2017/07/18,4,서핑하기 좋은 해변이라 하여 방문하게 되었고 파도가 너무 잔잔하여 서핑을 타진 않았지만 초보자들이 서핑을 배우기에 적합한 해변이라는 생각을 했습니다. 사전에 파도의 높이정도는 알아두는 것이 좋을 것 같아요~ 앞에 해녀분들께서 해주시는 해삼 멍게등 해산물을 판매하는 곳이 있어서 좋았습니다^^,서핑
2,2017/06/11,4,물색이나 모래가 뛰어나게 아름다운 색깔은 아니지만! 정말 이국적으로 아름다운 곳이었어요. 순간적으로 외국의 바다인줄. 앞에 있는 절벽이 이국적인 풍경을 자아내네요! ,이국적인 아름다운 해변!
3,2017/05/20,4,신라호텔과 하얏트 호텔 사이의 길로 들어가서 해변에 닿을 수 있었습니다. 사람이 많지 않아서 좋았어요. 물은 맑고 모래는 대체로 고른 편 입니다. 프라이빗한 느낌이 좋았습니다.,한적한 편이어서 좋았습니다.
4,2017/02/26,5,조용하고아담해서좋음모래가완전부드럽고경관도수려하다 친구와중문에서 가장찾기쉬운해변이여서 편하고좋은시간 ..,친구와
5,2017/02/08,5,여름에 놀러가세요 해수욕도 할수 있고 자연을 느끼기에 너무나도 좋습니다. 환상적인 풍경을 볼 수 있을것입니다.,여름에 놀러가세요
6,2017/01/24,5,생각보다 물이 얉고 아이들이 놀기에 좋음. 특히 유아가 놀기에 좋은데해초들이 좀 많이 밀려오는 경향이 있음.최근 중국인들이 좀 많아져서 물건들을 잘 챙겨야 할것 같다는 생각이 듬.해변에서 먹고 버리는 사람이 많아졌음.,대명 리도트 앞의 해변.
7,2016/12/22,3,물놀이객보다도 서핑하시는분들이 더 많은곳인듯합니다!파도있고 물놀이 하기엔 좋은장소인듯해용!!!,서핑하기 좋은곳
8,2016/09/20,5,중문 하야트 호텔에 숙박을 하며 날씨가 더워 이른 아침 서핑을 하는 젊은이들을 볼수있었다.,중문 색달 해변
9,2016/08/24,2,규모도 작고 휴가철이면 사람이 너무너무 붐비는 곳. 제주의 다른 해변에 비해 특별한 점이 있는 것도 아니고 사람이 너무 많아서 육지의 해수욕장이 떠오름. ,사람이 너무 많고 특별한 것 없음
10,2017/07/18,5,"예전에는 중문해수욕장이라는 명칭이였지만 색달해변으로 이름이 바뀐곳으로 아름더운 백사장과 부드러운 모래~수심이 깊지도 않아서 해수욕 하기 좋은 장소이며 ,해안 또한 최고의 비경을 자랑합니다.",중문해수욕장
11,2016/07/24,4,"본격적으로 해수욕장이 오픈하면서 많은 사람들로 붐비는데특히 서퍼들의 아지트, 아예 캠핑을 하며 언제든지 바다로 뛰어듭니다.사방 어디를 보아도 좋은데서퍼가 아니더라도 좋고바다에 몸을 담그지 않아도 좋고그저 바라만 보아도 좋은!",7월의 중문색달해변은?
12,2016/07/22,4,"서퍼들로 가득하고, 해변으로 들어서는 입구의 야자수들이 휴양지 분위기 가득입니다. 다시 제주도를 찾을 때에는 여기저기 돌아다니지 않고 중문에서 늘어지게 쉬고 색달에서 서핑하고 싶어요.",젊은 에너지가 느껴지는 해변
