,dates,rating,review,title
0,2017/07/11,5,야간 개장이 되어 있어 해지고 선선할때 산책하기 좋아요.무엇보다 자연경관에 비해 저렴한 입장료가..굿이죠.좀더 더 많이 받아도 좋으실듯요. 왜냐면.. 시설에 좀더 투자하는게 좋지 않나 싶어요~~ ,매년 제주도 갈때마다 가요~ 보고만 있어도 좋죠
1,2017/07/11,4,"여름휴가에 부모님 모시고 방문했습니다. 사람들도 많고 너무 더운 날이라 좀 힘들었지만, 폭포가 예뻐서 괜찮았습니다. 야간개장도 있으니 여름에는 야간에 방문하시는 게 좋을 수도 있겠습니다.",아기자기한 폭포
2,2017/06/14,5,야..이쁘네..를 연발하게한 ..폭포가 있는 예쁜정원을 다녀온 느낌 10분 정도의 코스 폭포까지 가는 길이 숲길로 이쁘게 잘 꾸며져 있어 걷는 즐거움이 가득 ,야...이쁘네
3,2017/05/25,3,한번 들어가 보고 싶다는 생각이 들게 만드는 폭포. 야간에 개장도 하고있고 개인적으로는 밤에 방문하는 게 더 좋을 듯 ,물색이 아름다운 폭포
4,2017/05/20,4,사람이 많지만 슬슬 걸어서 산책하기 딱 좋아요입장료도 있긴한데 그냥저냥 관광지 기분냅니다.코스가 넓거나 오래걸리지않아서 지루하지도않고 딱 좋아요,산책하며 즐기는 자연
5,2017/05/17,5,밤에 숙소에서 산책삼아 갔는데 폭포소리와 벌레소리 그리고 바람소리가 너무 듣기 좋았어요마음이 다 편해지는 느낌이 좋았습니다,밤에 갔는데 너무 아름답습니다
6,2017/05/06,3,아기자기한게 비오고 가면 멋있을지도 모르겠네요 ㅎㅎ 사진들은 엄청 커보였는데 착시효과였나... 직접 보고 그거보단... 진짜 막찍어도 이정도 얜 사진이 더 멋진듯한,너무 큰걸 기대했나봄
7,2017/05/04,5,폭포도 폭포지만 오가는길이 너무 예쁘고 잘해놨습니다. 길이 평평해서 유모차나 휠체어로도 이동 가능해요~,가벼운 산책으로도 좋아요
8,2017/04/30,4,수학여행으로 처음 천지연폭포를 가게됐는데 벚꽃이 진짜 예뻤어요 봄에 가기 정말 좋은 폭포같아요 사진찍을수 있는 곳이 많아서 좋았어요,벚꽃이 정말 예뻤던
9,2017/04/26,4,입장료가 있으며 입구에서 10분정도 걸어들어가면 폭포를 볼 수 있따. 입구에서 오리 밥주는걸 천원에 사서 뿌리면 닭둘기가 세금징수원마냥 끈질기게 쫒아오는 현상을 경험할 수 있다. 물론 오리에게도 줄 수 있으며 이떄는 치열한 먹이쟁탈전을 감상 가능하다. 진작 폭포를 보면 조금 썰런한 느낌이 나지만 기념사진을 찍거나 짧은 산책을 원한ㄷ면 추천한다.,한번 들려볼만한 곳
10,2017/07/11,4,가족과 함께 산책 하면서 좋은 공기 마실수 있고 좋네요제주의 대표적인 관광 코스 이기 때문에한번쯤은 와서 볼만 합니다좋아요,가족과 함께
11,2017/03/30,5,호텔에서 식사하고나서 산책겸 폭포 방문함.호텔에서 걸어서 약 20분거리에 있어서 운동도 적당히 하고 즐거운 관광을 하였음,도보여행
12,2017/03/29,4,제주 시내에 아주 가까운 곳에 위치한다~공원으로 조성되어 있어 산책하기에도 좋은 곳이다.정방 폭포와 함께 유명한 곳이고 가족과 함께 가기에도 부담없는 곳~!피크닉부터 산책가기에 좋은 곳이다~,제주3대 폭포 중 하나인 천지연폭포
